Codine,Lirmun,Pob,Sup,Dens,Extran,Porext,Mayor65,Pormayor65,CMerCA,Nivec03,Nivec04,Parreg,Cmer05,Cmer03,Telfij,Vmot,Ofban,Acind,Acomay,Acomin,Scomin,Ccom,Sccom,Acresbar,Iindus,Icomer,Iresbar,Itur,Iae,paseos,cnautic,bazul05,nviviend,porvpal,porvisec,porvivac,porhvivprop,porhvivalq,porhvivotreg,porhHdispsegviv,Poranalf,Porestprim,Porestsec,Porestuniv,Nhot05,nhcatsup,porhcatsup,Ing01,Ing02,Ing03,Ing04,Ing05,Ing06,Ing07,Ing08,Ing09,IngTot,Gas01,Gas02,Gas03,Gas04,Gas06,Gas07,Gas08,Gas09,TotGas,LIngporhab,LGasporhab,Portasas,Porinver,RivCom,RivRes
"03014","03014 Alicante/Alacant",319380,201.27,1586.82,35588,0.111428392510489,50042,0.156684826852026,0.0922296438425347,5,4,4.2,695,697,119058,189820,281,3344,1469,6565,774228,6,168172,2479,553,907,1012,693,994,4,0,3,153377,67.9,17.9,13.3,84.5,11.5,4,5.1,11.3,21,52.1,15.8,33,7,21.2121212121212,99646608.35,17195546.26,29653583.58,47757557.19,4599157.45,17850000,24282542.1,750000,17022336,258757330.93,72598169.75,73361065.67,4286847,29707201.21,50431762.07,9099949.23,2250000,17022336,258757330.93,6.69726433884427,6.69726433884427,11.4599974707662,19.4899838735943,48.6488956587966,128.83420734167
"03031","03031 Benidorm",67492,38.51,1752.58,17115,0.253585610146388,9847,0.145898773187933,0.0922296438425347,6,5,3.3,168,167,34756,44217,69,1014,125,2529,170181,2,47737,1351,58,164,373,2882,183,3,1,3,51427,41.3,32.2,15.5,73,21.1,6,2.2,12.7,23.7,55.7,8,128,25,19.53125,34612000,1300000,35160666.23,14279682.3,1851699.13,0,991500,219000,10460458.67,98875006.33,29452608.53,32264805.9,2850000,8832187.48,20356404.42,0,219000,4900000,98875006.33,7.28960269675409,7.28960269675409,35.5607221026612,20.5880183229112,26.6872281534203,49.9570688378979
"03047","03047 Calpe/Calp",25190,23.51,1071.46,14765,0.586145295752283,6728,0.26709011512505,0.0922296438425347,6,5,2,57,54,12589,14094,20,609,59,626,78441,1,8000,384,26,41,69,104,38,5,1,3,18155,42,55.8,2,76.7,18.3,5.1,4.4,6.1,19.5,66.9,7.4,8,2,25,12701470.96,3768477.17,9546191.32,4846871.63,1003589.71,1186071,0,0,0,33052671.79,12955491.55,10893199.86,902226.89,1462778.61,3792365.15,172458.68,18031,186433.11,30382984.85,7.17941059249507,7.09519093145273,28.8817538886166,12.481871576222,40.2396166134185,65.5989583333333
"03063","unknown",40601,66.19,613.4,11217,0.276273983399424,6184,0.152311519420704,0.0922296438425347,5,5,3.4,101,98,24026,28048,34,1335,116,1220,172726,0,0,510,63,85,125,181,91,1,2,4,34055,36.3,52.9,10.3,83,12.3,4.7,7.8,9.3,22.1,56.3,12.4,15,5,33.3333333333333,17116301.01,3800000,13708369.37,7916270.58,583230.41,2966054.55,1391471.5,0,4590089.05,52071786.47,15538963.12,16441950.81,770080.97,2818714.1,13536190.77,126250.7,95016,2744620,52071786.47,7.15658585772928,7.15658585772928,26.3259056377829,25.9952494193733,33.2795081967213,79.6098039215686
"03065","03065 Elche/Elx",215137,326.07,659.79,18666,0.0867633182576684,27441,0.127551281276582,0.0922296438425347,4,4,7.7,457,455,60826,131553,145,4146,1491,4116,518667,2,52394,1322,506,647,593,145,460,0,0,3,90314,71.1,15.6,12.6,89.3,6.4,4.3,7.6,19,25.8,47.6,7.6,8,1,12.5,57125000,12050000,26752008.08,37485951.68,741000,1823333,4520197.75,300000,18881343,159678833.51,50100704.03,44279100.43,3650768.38,15129086.94,26590214.61,747616.12,300000,18881343,159678833.51,6.60964475184742,6.60964475184742,16.7536344623438,16.6523101562705,52.2684645286686,162.736006051437
"03082","unknown",28242,68.59,411.75,14465,0.51218044047872,5795,0.205190850506338,0.0922296438425347,6,5,1.6,72,74,17177,19922,28,951,84,747,87287,0,0,403,40,52,85,74,59,3,0,3,19801,37.1,53.6,6.9,79.3,15.3,5.5,9.9,6.6,18.8,62.6,12,9,3,33.3333333333333,12309000,1400000,5880292.62,5100000,541255.45,0,220202.42,0,7969573.94,33420324.43,11515990.66,10467848.04,355325.8,1285932.34,8197614.59,197613,0,1400000,33420324.43,7.07610927811529,7.07610927811529,17.5949597147582,24.5288300751544,37.8072289156626,70.0794044665012
"03121","03121 Santa Pola",25494,58.16,438.34,4700,0.184357103632227,3865,0.151604299050757,0.0922296438425347,5,5,3.6,59,52,13541,12748,23,389,68,715,61874,1,7500,277,19,42,69,50,33,4,0,3,33381,22.1,53.3,24.4,85.2,8.4,6.3,3.9,18.6,23.7,48.9,8.7,4,0,0,10600126,2150000,5571952,4746004,696880,220000,4364308,202000,3045067,31596337,11906455,6940991,386721,1915893,8584767,96810,202000,1562700,31596337,7.12235334477378,7.12235334477378,17.6348036799329,27.1701336772044,35.6559440559441,92.0361010830325
"03011","unknown",16843,19.26,874.51,8571,0.508876090957668,3199,0.189930534940331,0.0922296438425347,6,5,2.2,43,40,10134,12078,21,427,54,423,69132,0,0,250,16,35,48,129,30,0,0,1,10160,46.2,21.6,26.3,78,16.6,5.3,1.7,4.9,19.9,62.4,12.8,7,2,28.5714285714286,4941355,836000,6464670.83,3253908.62,133099.53,0,2931516.67,0,1267244.31,19827794.96,6261585.55,4558251.48,201393.58,350052.73,7459463.47,12601,0,984447.15,19827794.96,7.07090487793873,7.07090487793873,32.6040835253826,37.6212457565175,39.8179669030733,67.372
"03018","03018 Altea",21154,34.43,614.41,6541,0.309208660300652,3434,0.162333364848256,0.0922296438425347,7,6,2.3,58,55,12931,16259,23,716,88,835,84968,0,0,295,30,52,58,79,46,1,1,1,12173,48.2,17.2,31.9,79.7,14.3,6,4.8,11.1,20.8,55.1,13,6,2,33.3333333333333,7736291.1,1925000,22456382.78,3931738.9,5158538.02,5907924,6415467,308401,8512920,62352662.79,7925963.05,20000572.05,387985.92,2606549.13,23845390.35,248461.21,24600,371608.81,55411130.52,7.98873264442753,7.87070675156278,36.0151143113675,43.0335748905056,25.3341317365269,71.7084745762712
"03050","03050 Campello (el)",23640,55.27,427.72,4058,0.17165820642978,3410,0.14424703891709,0.0922296438425347,6,5,3,54,51,13630,13951,20,334,55,454,44600,0,0,261,15,29,60,32,26,2,2,2,18883,38.3,52.4,4.1,86.6,8,5.3,4.5,14.6,16.8,53.1,15.3,5,1,20,7479400,3173812.5,3211950,3717000,51800,0,186037.5,0,3000000,20820000,8143070.84,7052955.18,511616.92,1093970.33,3081352.35,104685.15,0,832349.23,20820000,6.78072914963106,6.78072914963106,15.4272334293948,14.7999632564841,52.0704845814978,90.5747126436782
"03069","03069 Finestrat",3797,42.25,89.87,1494,0.393468527785094,543,0.143007637608638,0.0922296438425347,7,6,2.3,12,10,2524,2900,6,226,70,192,45957,0,0,96,13,30,15,36,17,1,0,1,3290,30.6,29.2,37.1,70,22.7,7.3,4.4,7.5,22.1,57.4,12.9,4,0,0,3034000,1315000,4982910.13,843950.16,464740.36,2150054,10966216.12,0,0,23756870.77,4336750.49,3836826.47,37002.8,790056.18,14736270.12,0,0,19964.71,23756870.77,8.74141578195417,8.74141578195417,20.9746063706857,62.0295082743341,19.7760416666667,39.5520833333333
