obs,ANO,CMERLIBTEN,LLESPAOMT,LLEWOROMT,CUOTOMT,VISITSPALIBTEN,VISITWORLIBTEN,time,timesq,crisis,CMERLIBTEN_1,crisis79,crisis2008,crisis93,eventos92,mund82,CUOTOMT_1,crisis2001,ue,euro,precios,hotelsinenlace,dummyseriehotel,cemento,intereslp,ESTABTURQUIA,CAMASTURQUIA,PIBSPA05,PIBTUR05,PIBUK05,dev76,dev77,dev82,dev92,dev93,ENLVWOTENOMT,preciosturkey,tcnespdollar,tcnespa,tcneturkey,FDIoutespun,FDIinfespun,FDIinfturpun,FDIouturpun,tcnliturdollar,IDEsPIBESP,IDEsPIBTurkey,CAMASESPANA,PESPAOMT,interescp,cuotur,pa,Balcanes,pgg,sgg,oncem,transicion,paroesp,crisis_1,crisis79_3,crisis93_3,crisis2001_2,crisis2008_3,crisis79_1,crisis79_2,crisis93_1,crisis2001_1,crisis2008_1,crisis93_2,crisis2008_2,cambio89,IngresosturESP,IDEsPIBESP_1,IDEsPIBESP_2,IDEsPIBESP_3,turTUROMT,LLEGTURQUIAM,CUOTTUROMT,tceresp,tcertur,TCERCLUES,TCERCLUTUR,hotelenlace,PIBpcESP,PIBpcTUR,pc_CMERLIBTEN,pc_cuotur,l_CMERLIBTEN,ld_CMERLIBTEN,ld_precios,ld_cemento,ld_hotelsinenla,ld_ESTABTURQUIA,ld_CAMASTURQUIA,ld_PIBSPA05,ld_PIBTUR05,ld_PIBUK05,ld_tcnespa,ld_tcneturkey,ld_FDIoutespu,ld_FDIinfespu,ld_FDIinfturp,ld_FDIouturpu,ld_CAMASESPANA,ld_cuotur,ld_tceresp,ld_tcertur,ld_TCERCLUES,ld_TCERCLUTUR,ld_hotelenlace,ld_PIBpcESP,ld_PIBpcTUR,ld_FDIoutes_1,ld_FDIinfes_1,ld_FDIoutes_2,ld_TCERCLUE_1,ld_tcnespa_1,ld_precios_1,ld_FDIouturpu_1,ld_FDIinfturp_1,ld_FDIinfespu_2,ld_PIBUK05_1,ld_hotelenlace_,ld_hotelenlace_,ld_CMERLIBTEN_1,ld_FDIinfespu_3,ld_PIBpcESP_2,ld_FDIoutespu_3,ld_PIBpcESP_3,ld_PIBpcESP_1,ld_hotelenlace_,ld_CAMASESPANA_,ld_CAMASESPANA_,ld_CAMASESPANA_,ld_cemento_2,ld_cemento_3,IngresosTUR,ld_IngresosTUR,ld_IngresosturE,PIBGER05,IngresosESPdola,ld_IngresosESPd,ld_PIBGER05,l_cuotur,ITRESPpc,ITRTURpc,ld_ITRESPpc,ld_ITRTURpc,ld_PIBSPA05_1,ld_PIBGER05_1,ld_tceresp_1,earthq,earthq_1,l_PIBSPA05,l_PIBTUR05,l_PIBUK05,l_ITRESPpc,l_ITRTURpc,l_IngresosturESP,l_turTUROMT,l_LLEGTURQUIAM,l_CUOTTUROMT,l_tceresp,l_tcertur,l_TCERCLUES,l_TCERCLUTUR,l_ENLVWOTENOMT,l_preciosturkey,l_tcnespdollar,l_tcnespa,l_tcneturkey,l_FDIoutespun,l_FDIinfespun,l_FDIinfturpun,l_FDIouturpun,l_tcnliturdollar,l_IDEsPIBESP,l_IDEsPIBTurkey,l_LLESPAOMT,l_LLEWOROMT,l_CUOTOMT,l_VISITSPALIBTEN,l_VISITWORLIBTEN,l_precios,l_hotelsinenlace,l_cemento,l_intereslp,l_ESTABTURQUIA,l_CAMASTURQUIA,l_PIBpcESP,l_PIBpcTUR,l_CAMASESPANA,l_PIBGER05
1970,1970,12.8,NA,NA,NA,21267,165787,1,1,0,NA,0,0,0,0,0,NA,0,0,0,5.779055,8244,0,16702300,NA,292,28354,402976,176229.7754,824288,0,0,0,0,0,163496.951840535,0.00014661,0.4208711,175.3,10125515.1,43,222,58,0,1.133e-005,0.557,0.237,545798,NA,NA,0.443301230904237,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,703.17,NA,NA,NA,NA,724.784,NA,71.5,123.1,61.6,166.7,17559.72,11845,4986,-0.719490586932446,0.384503763823368,2.54944517092557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,1227781,1670.74907257828,NA,NA,-0.813505760550488,0.0785606372585827,0.070365791739332,NA,NA,NA,NA,NA,0,NA,12.9066322858056,12.0795439645867,13.6222752623887,-2.54388450322516,-2.6540480467056,6.55559868334487,NA,6.58587367942992,NA,4.26969744969996,4.81299703319041,4.12066187053947,5.11619578975675,12.0045496259685,-8.8277345580141,-0.865428667953098,5.16649879192719,16.1305690437369,3.76120011569356,5.40267738187228,4.06044301054642,NA,-11.3880564829244,-0.585190039054853,-1.43969513784701,NA,NA,NA,9.96491185452313,12.0184591108891,1.75424017450786,9.01724094201035,16.6310569924547,NA,5.67675380226828,10.2525233926776,9.37966111659289,8.5143892640835,13.2100042229037,14.0207190330228
1971,1971,13.3,NA,NA,NA,23738.1,178853,2,4,0,12.8,0,0,0,0,0,NA,0,0,0,6.255069,8631,0,16616400,NA,337,32114,421713,186042.0656,841445,0,0,0,0,0,176382.468634665,0.00017448,0.41790961,173.1,7197480.8,25,202,45,0,1.487e-005,0.446,0.195,612338,NA,NA,0.525006258937237,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,832.46,0.557,NA,NA,NA,926.019,NA,72.2,98.7,61.9,113.4,18384.03,12282,5137,-0.132419036814952,0.404179668611364,2.58776403522771,0.0383188643021367,0.0791520005252274,-0.00515627502392047,0.045874710209308,0.14332912808408,0.124523958432053,0.0454479810564782,0.054184121678259,0.0206006686111206,-0.012629329745025,-0.341327409864914,-0.542324290825362,-0.0944096844710744,-0.2537805207761,NA,0.115035473717759,0.169160665874124,0.00974259619881894,-0.220912086750972,0.00485830915107618,-0.385274398463096,0.0458747102093081,0.036228938296458,0.029835266383765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,0.195308752320766,0.168786489307334,1266244,1991.96185031495,0.175847935214865,0.0308465631102539,-0.644345094676364,0.0839141233003042,0.0669532698573139,0.065923158475599,-0.049712321043522,NA,NA,NA,0,0,12.9520802668621,12.133728086265,13.6428759309999,-2.47796134474956,-2.70376036774912,6.72438517265221,NA,6.83089475279421,NA,4.27944004589878,4.59208494643944,4.12552017969055,4.73092139129365,12.0804100334587,-8.6537004360709,-0.872490113860629,5.15386946218216,15.789241633872,3.2188758248682,5.30826769740121,3.80666248977032,NA,-11.1161647974922,-0.807436326962073,-1.63475572041839,NA,NA,NA,10.0748366312624,12.0943195183793,1.83339217503309,9.06311565221966,16.6259007174308,NA,5.82008293035236,10.3770473511096,9.41589005488934,8.54422453046727,13.3250396966215,14.051565596133
1972,1972,15.6,NA,NA,NA,29441.1,189129,3,9,0,13.3,0,0,0,0,0,NA,0,0,0,6.772507,9044,0,18894800,NA,363,34628,456085,199857.5614,871894,0,0,0,0,0,186516.524242845,0.00020138,0.38636379,176.3,7124195.2,37,268,43,0,1.415e-005,0.466,0.148,657643,NA,NA,0.554886492873139,0,0,0,0,0,0,2,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,958.13,0.446,0.557,NA,NA,1034.955,NA,75.2,106.9,65.8,108.8,19263.72,13165,5382,2.25465251330254,0.372030779302263,2.74727091425549,0.159506879027783,0.0794791535352189,0.128496592468104,0.0467411811782022,0.0743199039124887,0.0753705312260346,0.0783542077722675,0.071632112535262,0.0355472048692674,0.0183176272216613,-0.0102343105187991,0.392042087776024,0.282719283109652,-0.0454623740767574,NA,0.0713778132592179,0.0553533911784416,0.0407111850570135,0.0798088715915633,0.061099658640721,-0.0414100568718091,0.0467411811782022,0.0694270170410658,0.0465908008195835,-0.542324290825362,-0.0944096844710744,NA,0.00485830915107618,-0.012629329745025,0.0791520005252274,NA,-0.2537805207761,NA,0.0206006686111206,0.0458747102093081,NA,0.0383188643021367,NA,NA,NA,NA,0.036228938296458,NA,0.115035473717759,NA,NA,NA,NA,103,0.507594603184544,0.140598295486022,1320697,2479.86489624196,0.219084073840459,0.0421045893736238,-0.588991703497922,0.0842313940797714,0.0995212352227875,0.00377376882762581,0.396376129485363,0.0454479810564782,0.0308465631102539,0.00974259619881894,0,0,13.0304344746343,12.2053601988003,13.6784231358691,-2.47418757592193,-2.30738423826376,6.86498346813823,NA,6.94211322649339,NA,4.32015123095579,4.671893818031,4.18661983833127,4.68951133442184,12.1362751159794,-8.5103168874768,-0.950975892215065,5.17218708940382,15.7790073233532,3.61091791264422,5.59098698051086,3.76120011569356,NA,-11.165795933875,-0.763569644856491,-1.91054300521802,NA,NA,NA,10.2901469362752,12.1501846009,1.91287132856831,9.10985683339786,16.7543973098989,NA,5.89440283426485,10.4524178823357,9.48531707193041,8.59081533128685,13.3964175098807,14.0936701855066
1973,1973,15.9,NA,NA,NA,31606,198906,4,16,1,15.6,0,0,0,0,0,NA,0,0,0,7.545704,9215,0,21521523,NA,388,38528,491603,206376.4712,935062,0,0,0,0,0,196158.47263533,0.00022945,0.34955236,178.5,6595881,52,390,79,0,1.415e-005,0.51,0.217,699440,NA,NA,0.683899595045266,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1139.05,0.466,0.446,0.557,NA,1341.527,NA,78.4,104.1,69,101.8,19627.95,14063,5420,2.64172406342004,0.439014758229386,2.76631910922619,0.0190481949706947,0.108107066124403,0.130166752230237,0.018731036706064,0.0666025053584228,0.106722646332829,0.074992284543453,0.0320971111672002,0.0699449803637125,0.0124015118158687,-0.0770514020914274,0.340325805937203,0.375159758612836,0.608247736773459,NA,0.0616177839740479,0.209047540494008,0.0416726964005684,-0.0265418424100762,0.0474866662659882,-0.0665012303054202,0.0187310367060641,0.0659854419398376,0.00703576314684032,0.392042087776024,0.282719283109652,-0.542324290825362,0.061099658640721,0.0183176272216613,0.0794791535352189,NA,-0.0454623740767574,-0.0944096844710744,0.0355472048692674,0.0467411811782022,0.0458747102093081,0.159506879027783,NA,0.036228938296458,NA,NA,0.0694270170410658,NA,0.0713778132592179,0.115035473717759,NA,-0.00515627502392047,NA,171,0.506934568273024,0.172966392501736,1383793,3258.5962228949,0.273092414795912,0.0466686519929436,-0.379944163003915,0.103100557580678,0.127466685351842,0.202137096102089,0.247483998379461,0.0783542077722675,0.0421045893736238,0.0407111850570135,0,0,13.1054267591778,12.2374573099675,13.7483681162328,-2.27205047981984,-2.0599002398843,7.03794986063996,NA,7.20156379638696,NA,4.36182392735636,4.64535197562092,4.23410650459726,4.62301010411642,12.186678145379,-8.37982541712343,-1.05110191450924,5.18458860121969,15.7019559212618,3.95124371858143,5.96614673912369,4.36944785246702,NA,-11.165795933875,-0.673344553263766,-1.52785792544168,NA,NA,NA,10.361102254969,12.2005876302996,2.02097839469271,9.12858787010392,16.8845640621291,NA,5.96100533962327,10.5591405286685,9.55130251387025,8.59785109443369,13.4580352938548,14.1403388374996
1974,1974,13.3,NA,NA,NA,27364.5,205667,5,25,1,15.9,0,0,0,0,0,NA,0,0,0,8.728899,9364,0,22152157,NA,400,40895,519225,217921.5701,920245,0,0,0,0,0,202826.081623935,0.00028428,0.34642544,184,6884765.6,85,358,64,0,1.393e-005,0.379,0.127,732922,NA,NA,0.547413819322621,0,0,0,0,0,0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1103.84,0.51,0.466,0.446,NA,1110.298,NA,83.1,116.4,73,100,19945.32,14711,5582,0.128795613537532,0.240499859261738,2.58776403522771,-0.178555073998478,0.145660850366912,0.028881369074846,0.0160399585068775,0.0304592074847083,0.059622556500582,0.0546658350365628,0.0544331968874594,-0.0159728983124905,0.0303471563892921,0.0428657232781608,0.491407537908889,-0.0856137527229918,-0.21056476910735,NA,0.0467592693464006,-0.222606074307363,0.0582207745050404,0.111680559676415,0.0563529365511316,-0.0178399181283305,0.0160399585068774,0.0450482783799636,0.029451319662575,0.340325805937203,0.375159758612836,0.392042087776024,0.0474866662659882,0.0124015118158687,0.108107066124403,NA,0.608247736773459,0.282719283109652,0.0699449803637125,0.0187310367060641,0.0467411811782022,0.0190481949706947,-0.0944096844710744,0.0694270170410658,-0.542324290825362,0.036228938296458,0.0659854419398376,0.0458747102093081,0.0616177839740479,0.0713778132592179,0.115035473717759,0.128496592468104,-0.00515627502392047,193,0.121026632402225,-0.0313995718421651,1396109,3186.37107020778,-0.0224138224694297,0.00886080198599615,-0.602550237311278,0.116441779320206,0.1738272067499,0.121686600603235,0.310206702045544,0.074992284543453,0.0466686519929436,0.0416726964005684,0,0,13.1600925942143,12.2918905068549,13.7323952179203,-2.15036387921661,-1.74969353783875,7.0065502887978,NA,7.01238372674364,NA,4.4200447018614,4.75703253529734,4.29045944114839,4.60517018598809,12.220104150043,-8.16555089000558,-1.06008766388198,5.21493575760899,15.7448216445399,4.44265125649032,5.8805329864007,4.15888308335967,NA,-11.1814657701726,-0.970219073899711,-2.06356819252355,NA,NA,NA,10.2170018318964,12.2340136349636,2.16663924505963,9.1446278286108,16.913445431204,NA,5.99146454710798,10.6187630851691,9.59635079225021,8.62730241409627,13.5047945632012,14.1491996394856
1975,1975,12.3,NA,NA,NA,27359.2,222290,6,36,1,13.3,0,0,0,0,0,NA,0,0,0,10.20873,9518,0,20817084,NA,421,44957,522040,233553.3834,915126,0,0,0,0,0,219219.46488345,0.00034462,0.34498624,178.6,6327962.9,169.94,682.64,114,0,1.444e-005,0.612,0.181,789236,NA,NA,0.702904735589623,0,0,0,0,0,1,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1201.13,0.379,0.51,0.466,NA,1540.904,NA,84.7,120.3,75.1,106.8,20273.34,14637,5827,-0.784132836344973,0.333961652283736,2.50959926237837,-0.0781647728493361,0.156603991525093,-0.0621608774987677,0.0163121930702539,0.0511682865743991,0.0946986711935733,0.00540689806712824,0.0692754458040545,-0.00557817822510071,-0.0297870891665865,-0.0843327189593477,0.692794177085079,0.645434647827629,0.577315365034824,NA,0.0740261047025372,0.250016329705012,0.0190708997966065,0.0329560876832959,0.0283611176216983,0.0657877405380032,0.0163121930702538,-0.00504294376626512,0.0429551530468076,0.491407537908889,-0.0856137527229918,0.340325805937203,0.0563529365511316,0.0303471563892921,0.145660850366912,NA,-0.21056476910735,0.375159758612836,-0.0159728983124905,0.0160399585068774,0.0187310367060641,-0.178555073998478,0.282719283109652,0.0659854419398376,0.392042087776024,0.0694270170410658,0.0450482783799636,0.0467411811782022,0.0467592693464006,0.0616177839740479,0.0713778132592179,0.130166752230237,0.128496592468104,200,0.0356271776431507,0.0844677705550438,1384009,3481.67509521539,0.0886308534772038,-0.00870472145679635,-0.352533907606266,0.127257927688507,0.129793939142218,0.088824553830674,-0.292113631783171,0.0546658350365628,0.00886080198599615,0.0582207745050404,0,0,13.1654994922815,12.361165952659,13.7268170396952,-2.06153932538593,-2.04180716962192,7.09101805935284,NA,7.34012453616996,NA,4.43911560165801,4.78998862298063,4.31882055877009,4.67095792652609,12.2978286297643,-7.97306819724932,-1.06425074680414,5.1851486684424,15.6604889255806,5.1354454335754,6.52596763422833,4.7361984483945,NA,-11.1455084244996,-0.491022996469811,-1.70925824771631,NA,NA,NA,10.2168081315429,12.311738114685,2.32324323658472,9.16094002168106,16.8512845537052,NA,6.04263283368238,10.7134617563626,9.59130784848395,8.67025756714308,13.5788206679037,14.1404949180288
1976,1976,12,NA,NA,NA,27389.2,228873,7,49,0,12.3,0,0,0,0,0,NA,0,0,0,12.00801,9542,0,21292816,NA,439,47307,539287,257990.1614,940490,1,0,0,0,0,225711.532620765,0.00040478,0.4022674,165.5,6181893.8,192.66,477.62,10,0,1.605e-005,0.415,0.013,798985,NA,NA,0.742472473843734,0,0,0,0,0,1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1244.53,0.612,0.379,0.51,NA,1675.846,NA,84.6,127.2,76,123,20324.46,14943,6305,-0.997061286227479,0.311500267292844,2.484906649788,-0.0246926125903715,0.162330690524243,0.0225957430884459,0.00251836439499569,0.0418665793927901,0.0509517987110487,0.0325036834316032,0.0995107764091277,0.0273392553292439,-0.0761774736252812,-0.0233537029604457,0.125481543754082,-0.357152196979813,-2.43361335540045,NA,0.0122767832016455,0.0547644263494589,-0.00118133504583081,0.0557720279253886,0.0119127815162421,0.141226428846323,0.00251836439499737,0.0206903932574461,0.0788406812559463,0.692794177085079,0.645434647827629,0.491407537908889,0.0283611176216983,-0.0297870891665865,0.156603991525093,NA,0.577315365034824,-0.0856137527229918,-0.00557817822510071,0.0163121930702538,0.0160399585068774,-0.0781647728493361,0.375159758612836,0.0450482783799636,0.340325805937203,0.0659854419398376,-0.00504294376626512,0.0187310367060641,0.0740261047025372,0.0467592693464006,0.0616177839740479,0.028881369074846,0.130166752230237,180,-0.105360515657826,0.035495168230951,1452507,3093.78786349577,-0.118117341209167,0.0483066689449174,-0.297769481256807,0.112956488816606,0.107408437290777,-0.119213263756773,-0.189309370866642,0.00540689806712824,-0.00870472145679635,0.0190708997966065,0,0,13.1980031757131,12.4606767290681,13.7541562950245,-2.18075258914271,-2.23111654048856,7.12651322758379,NA,7.42407339137878,NA,4.43793426661218,4.84576065090602,4.33073334028633,4.81218435537242,12.3270130586237,-7.81216684832622,-0.910638237364019,5.10897119481712,15.6371352226201,5.26092697732948,6.16881543724852,2.30258509299405,NA,-11.0398017083883,-0.879476758751439,-4.3428059215206,NA,NA,NA,10.2179040540905,12.3409225435443,2.48557392710896,9.16345838607605,16.8738802967937,NA,6.08449941307517,10.7644135550737,9.61199824174139,8.74909824839902,13.5910974511054,14.1888015869737
1977,1977,12.7,NA,NA,NA,31597.1,249264,8,64,0,12,0,0,0,0,0,NA,0,0,0,14.95454,9558,0,21755248,NA,446,50379,554595,266774.2488,962036,0,1,0,0,0,245820.86776152,0.00050996,0.45683923,144.8,5354622.2,115.49,607.68,27,0,1.8e-005,0.472,0.032,803747,NA,15.52,0.675864508627397,0,0,0,0,0,1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1882.14,0.415,0.612,0.379,NA,1661.416,NA,84.4,127,75.6,140.3,20358.54,15186,6387,-0.209989736109986,0.182863178831503,2.54160199346455,0.0566953436765454,0.219441005556386,0.0214852769565059,0.00167539306205191,0.0158195389448929,0.0629161454894209,0.0279902209034369,0.0334813405566383,0.0226508559605949,-0.133617714865501,-0.143664514132003,-0.511743031202482,0.240832990375405,0.993251773010283,NA,0.00594237091775879,-0.0939931727959088,-0.00236686501026599,-0.0015735644474306,-0.00527705710084361,0.131598631735998,0.00167539306205187,0.0161309880317865,0.0129217051625693,0.125481543754082,-0.357152196979813,0.692794177085079,0.0119127815162421,-0.0761774736252812,0.162330690524243,NA,-2.43361335540045,0.645434647827629,0.0273392553292439,0.00251836439499737,0.0163121930702538,-0.0246926125903715,-0.0856137527229918,-0.00504294376626512,0.491407537908889,0.0450482783799636,0.0206903932574461,0.0160399585068774,0.0122767832016455,0.0740261047025372,0.0467592693464006,-0.0621608774987677,0.028881369074846,204,0.125163142954006,0.413651478742739,1501126,4119.9176349194,0.286436985671509,0.0329244641561051,-0.391762654052716,0.130389106434432,0.12278682762174,0.143520416550244,0.133811004542017,0.0325036834316032,0.0483066689449174,-0.00118133504583081,0,0,13.2259933966165,12.4941580696247,13.7768071509851,-2.03723217259246,-2.09730553594655,7.54016470632653,NA,7.41542552979076,NA,4.43556740160191,4.84418708645859,4.32545628318549,4.94378298710842,12.4123583698316,-7.58117826669435,-0.783423744292789,4.97535347995162,15.4934707084881,4.749183946127,6.40964842762392,3.29583686600433,NA,-10.9251388000681,-0.750776293396582,-3.44201937618241,NA,NA,NA,10.3608206232118,12.4262678547522,2.70501493266535,9.1651337791381,16.8953655737502,NA,6.10031895202006,10.8273297005631,9.62812922977318,8.76201995356159,13.5970398220231,14.2217260511298
1978,1978,13.8,NA,NA,NA,36942.7,267076,9,81,0,12.7,1,0,0,0,0,NA,0,0,0,17.91161,9532,0,22028419,NA,473,52385,562709,270787.893,994213,0,0,0,0,0,263386.82713218,0.00082562,0.46096035,129.2,3594324.2,107.76,1178.16,34,0,2.428e-005,0.755,0.037,804641,NA,17.59,0.624244203061406,0,0,0,0,0,1,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2503.19,0.472,0.415,0.612,NA,1644.177,NA,84.8,129.2,76.1,130.9,20303.16,15236,6350,0.97708181400751,0.0692137500205088,2.62466859216316,0.0830665986986136,0.180434173281071,0.0124783766791193,-0.002723940919471,0.0587764364718685,0.0390458692239476,0.0145245029900927,0.0149330411242831,0.0328995974120135,-0.113991888603115,-0.39860416033208,-0.0692774140248871,0.662060750793986,0.230523658611832,NA,0.00111167217371476,-0.0794509820579007,0.00472814119594571,0.01717450488991,0.00659198168215292,-0.0693493141925609,-0.00272394091947095,0.00328709782531481,-0.00580986167485156,-0.511743031202482,0.240832990375405,0.125481543754082,-0.00527705710084361,-0.133617714865501,0.219441005556386,NA,0.993251773010283,-0.357152196979813,0.0226508559605949,0.00167539306205187,0.00251836439499737,0.0566953436765454,0.645434647827629,0.0206903932574461,0.692794177085079,-0.00504294376626512,0.0161309880317865,0.0163121930702538,0.00594237091775879,0.0122767832016455,0.0740261047025372,0.0225957430884459,-0.0621608774987677,230,0.11995931507898,0.285156491133615,1546287,5430.38029192749,0.276175995202061,0.029641080132885,-0.471213636110617,0.146994678026444,0.139887615506116,0.119873275831939,0.130389610815419,0.0279902209034369,0.0329244641561051,-0.00236686501026599,0,0,13.2405178996066,12.509091110749,13.8097067483971,-1.91735889676052,-1.96691592513113,7.82532119746015,NA,7.40499523405432,NA,4.44029554279786,4.8613615913485,4.33204826486764,4.87443367291585,12.481379056153,-7.09937593872419,-0.774443248361236,4.8613615913485,15.0948665481561,4.67990653210211,7.07170917841791,3.52636052461616,NA,-10.625857591773,-0.281037529733112,-3.29683736633791,NA,NA,NA,10.5171233425819,12.4952885410737,2.88544910594642,9.16240983821863,16.9078439504293,NA,6.15909538849193,10.8663755697871,9.63141632759849,8.75621009188674,13.5981514941968,14.2513671312627
1979,1979,12,NA,NA,NA,33859.8,283089,10,100,0,13.8,1,0,0,0,0,NA,0,0,0,20.7166,9566,0,20770015,NA,494,53956,562943,269096.8388,1020138,0,0,0,0,0,279178.636440645,0.00135024,0.40358587,140.7,2353952.4,132.83,1396.81,75,0,3.108e-005,0.67,0.06,809489,NA,15.52,0.545764539660232,0,0,0,0,0,0,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,2604,0.755,0.472,0.415,NA,1523.658,NA,97.9,122.6,88.8,122.6,20375.58,15106,6181,-0.735846635874996,-0.0712950366256688,2.484906649788,-0.139761942375159,0.145486205316096,-0.0588230323817872,0.00356058602160992,0.0434401286959899,0.0295486088025053,0.000415759050524225,-0.00626452140886193,0.0257417218295842,0.0852683727718419,-0.423260202458736,0.209163583042304,0.170237165862881,0.791127588920149,NA,0.00600696917571338,-0.134354006183464,0.143651006738607,-0.0524345678463903,0.154338385130484,-0.0655066494137432,0.00356058602160984,-0.00856903272510125,-0.0269747422274642,-0.0692774140248871,0.662060750793986,-0.511743031202482,0.00659198168215292,-0.113991888603115,0.180434173281071,NA,0.230523658611832,0.240832990375405,0.0328995974120135,-0.00272394091947095,0.00167539306205187,0.0830665986986136,-0.357152196979813,0.0161309880317865,0.125481543754082,0.0206903932574461,0.00328709782531481,0.00251836439499737,0.00111167217371476,0.00594237091775879,0.0122767832016455,0.0214852769565059,0.0225957430884459,280,0.196710294246054,0.0394828058683121,1610463,6452.15849603456,0.172405558533423,0.0406651419951842,-0.60556764229408,0.190555127202008,0.183768273457692,0.25954515212019,0.272836226686174,0.0145245029900927,0.029641080132885,0.00472814119594571,0,0,13.2409336586571,12.5028265893402,13.8354484702267,-1.65781374464033,-1.69407969844496,7.86480400332846,NA,7.3288693016142,NA,4.58394654953646,4.80892702350211,4.48638664999812,4.80892702350211,12.5396071298964,-6.60747292455462,-0.907366001026347,4.94662996412034,14.6716063456973,4.88907011514441,7.24194634428079,4.31748811353631,NA,-10.3789460324648,-0.400477566597125,-2.81341071676004,NA,NA,NA,10.4299837489951,12.553516614817,3.03093531126252,9.16597042424024,16.8490209180475,NA,6.20253551718792,10.8959241785896,9.62284729487339,8.72923534965927,13.6041584633725,14.2920322732579
